a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
or,s,390,328,406,291,0.9613169780683087,227,54
s,r,328,196,291,176,0.954321562422668,127,34
or,r,390,196,406,176,0.951182345645611,143,42
r,sar,196,77,176,48,0.9251405059515082,35,11
s,sar,328,77,291,48,0.9156913089871604,43,19
or,sar,390,77,406,48,0.9115997113925397,42,18
r,d,196,53,176,32,0.9088710003593926,29,13
ar,or,449,390,388,406,0.9078029501660702,225,77
s,d,328,53,291,32,0.9047925479698834,28,12
ar,r,449,196,388,176,0.8949560826419293,145,45
or,d,390,53,406,32,0.892463318321844,26,10
ar,s,449,328,388,291,0.8842442771466738,176,57
ar,sar,449,77,388,48,0.8755651222038463,43,19
qol,l,147,156,132,137,0.8660968136523995,76,33
d,sar,53,77,32,48,0.8576373085011271,20,7
ol,l,588,156,609,137,0.848320740291291,115,56
r,ches,196,44,176,43,0.8410684651314443,27,12
s,o,328,114,291,83,0.836672419914037,37,10
s,ches,328,44,291,43,0.8302087837505475,28,15
chol,cthol,367,55,362,43,0.8293478268577533,33,17
y,ol,210,588,176,609,0.8275971000495604,142,66
ol,qol,588,147,609,132,0.8233119071268928,112,49
ol,sol,588,63,609,69,0.818354918985977,55,31
or,sor,390,43,406,45,0.8179245144330917,37,19
ches,sar,44,77,43,48,0.8168527973521609,21,8
chol,kol,367,35,362,33,0.8127061416035903,27,19
ar,d,449,53,388,32,0.8102617203134396,27,11
or,o,390,114,406,83,0.80957296790982,46,18
shey,chey,344,510,374,580,0.8077214355974531,258,95
r,o,196,114,176,83,0.8037937197633183,42,16
or,ches,390,44,406,43,0.8013699373890112,32,19
d,ches,53,44,32,43,0.7991784102357001,19,6
sol,qol,63,147,69,132,0.7873491596407478,43,20
ar,ches,449,44,388,43,0.7813934831241715,36,21
chor,chol,215,367,199,362,0.7794237873864706,116,48
d,o,53,114,32,83,0.779111982380938,19,7
ol,sor,588,43,609,45,0.7694758327754578,37,19
r,sor,196,43,176,45,0.7693876226577933,29,12
kol,cthol,35,55,33,43,0.7673824148975219,16,8
ol,al,588,311,609,245,0.7652992926092167,165,80
d,chos,53,42,32,43,0.7633651969423904,14,5
chol,cthy,367,100,362,67,0.7625791636288359,42,21
s,sor,328,43,291,45,0.7622548215427608,33,17
or,chos,390,42,406,43,0.7613059383551517,31,22
y,l,210,156,176,137,0.7608238623836037,77,39
dar,ol,287,588,242,609,0.753579784039544,163,77
al,l,311,156,245,137,0.7525895361622633,92,50
or,tar,390,43,406,35,0.7502358539797626,26,16
s,cheo,328,75,291,62,0.7483122396009538,32,17
s,chos,328,42,291,43,0.7471852175085405,21,12
ar,sor,449,43,388,45,0.7468061819049849,37,19
r,chos,196,42,176,43,0.743796135581929,20,11
ar,o,449,114,388,83,0.7422964475627358,48,19
cthy,kol,100,35,67,33,0.7409434820605564,20,12
y,al,210,311,176,245,0.7394671015014113,100,50
cthy,cthol,100,55,67,43,0.7386494492371307,26,12
o,sar,114,77,83,48,0.7339332928599324,20,3
or,cheo,390,75,406,62,0.7321737537602026,32,16
r,tar,196,43,176,35,0.7318449456658163,20,11
r,cheo,196,75,176,62,0.730978314789885,28,14
or,lor,390,38,406,39,0.7303493572756832,31,16
tar,lor,43,38,35,39,0.7264450270622261,16,7
ches,o,44,114,43,83,0.7259526839058266,17,5
sor,sar,43,77,45,48,0.7253437067180021,21,10
r,lor,196,38,176,39,0.7233141814245944,23,10
y,tol,210,42,176,48,0.7223675494745445,31,20
tar,sar,43,77,35,48,0.7223587352604365,15,7
dar,sor,287,43,242,45,0.7222841491009832,40,23
sor,lor,43,38,45,39,0.7199910911826023,21,8
s,tar,328,43,291,35,0.7192184517571361,22,13
ar,dar,449,287,388,242,0.717435160708038,150,78
sol,l,63,156,69,137,0.7121560063460798,40,23
ol,dor,588,63,609,68,0.7112966246554465,56,30
chos,sar,42,77,43,48,0.7080465544536302,16,8
ar,tar,449,43,388,35,0.7075241007421234,27,17
sar,lor,77,38,48,39,0.707360583305657,17,7
sor,tar,43,43,45,35,0.7062881957579754,17,8
tol,dor,42,63,48,68,0.703589553081995,25,16
y,qol,210,147,176,132,0.7018112347640384,68,33
d,cheo,53,75,32,62,0.6980100608965332,18,5
chor,dal,215,190,199,139,0.6959137043187701,69,42
cheo,o,75,114,62,83,0.6957496506274927,27,12
ar,chos,449,42,388,43,0.6944142839343853,26,17
al,qol,311,147,245,132,0.6905806976205533,76,36
y,dor,210,63,176,68,0.6897345661698981,42,19
or,ol,390,588,406,609,0.6887039553667685,229,82
shey,chckhy,344,141,374,153,0.6882313197114114,96,52
chor,dor,215,63,199,68,0.6880511563033935,43,23
chol,dal,367,190,362,139,0.6880281194687177,80,49
s,lor,328,38,291,39,0.6878461835431968,24,11
shey,shckhy,344,55,374,64,0.6858590265536175,42,29
or,dar,390,287,406,242,0.685381512515138,130,65
cheo,sar,75,77,62,48,0.6792781199936146,20,7
sor,sol,43,63,45,69,0.677643028055341,24,12
chey,chckhy,510,141,580,153,0.6748453130010805,113,63
ar,lor,449,38,388,39,0.6732419300474106,27,12
tol,ol,42,588,48,609,0.6728958238758592,32,21
d,sor,53,43,32,45,0.6696611419850345,15,7
tol,l,42,156,48,137,0.6682238651911909,23,16
y,chor,210,215,176,199,0.6664937259059439,82,34
y,sol,210,63,176,69,0.6612373529331926,41,20
chor,kol,215,35,199,33,0.6611771863820949,25,17
ar,cheo,449,75,388,62,0.6586038995758545,33,17
cthy,cthor,100,45,67,42,0.65799949970305,23,13
chos,ches,42,44,43,43,0.6579435022942695,11,3
dor,l,63,156,68,137,0.657782385706956,36,17
chos,o,42,114,43,83,0.6575410278762805,11,3
chos,lor,42,38,43,39,0.6545123378758663,18,10
ain,qol,149,147,107,132,0.6534485335339995,40,19
cthol,cthor,55,45,43,42,0.6525499268059114,20,13
d,lor,53,38,32,39,0.6485076010622413,14,6
chey,dy,510,204,580,144,0.6473000918427295,104,58
ar,ol,449,588,388,609,0.6469941353564002,219,95
chol,chy,367,197,362,157,0.6429790602634301,85,52
ches,lor,44,38,43,39,0.6382944528020494,13,5
ain,l,149,156,107,137,0.6368155547821897,43,22
tol,qol,42,147,48,132,0.6363119682046128,22,15
ain,ol,149,588,107,609,0.6359912859594086,82,49
chol,cthor,367,45,362,42,0.6352934541940506,31,21
chor,cthol,215,55,199,43,0.6350999569416319,31,15
y,dar,210,287,176,242,0.6342356800262348,84,46
kol,shy,35,94,33,77,0.6334618262770997,20,13
d,tar,53,43,32,35,0.6327646278863236,10,4
cheo,ches,75,44,62,43,0.6322125135685912,17,5
sor,l,43,156,45,137,0.6313322036110924,26,12
sor,qol,43,147,45,132,0.6306462523747771,21,9
sor,o,43,114,45,83,0.6286053806296038,16,5
tar,ches,43,44,35,43,0.6274007103340102,10,4
dar,sol,287,63,242,69,0.62725004818718,43,23
ar,char,449,79,388,75,0.6271647045388522,56,37
sor,ches,43,44,45,43,0.6265507046027982,16,8
shol,chy,176,197,181,157,0.6241904165669874,75,48
al,sol,311,63,245,69,0.6228204254289609,46,23
y,chol,210,367,176,362,0.6224000932046061,108,53
y,dal,210,190,176,139,0.6221342617936602,62,38
chor,ol,215,588,199,609,0.6216925230519449,121,52
dy,chckhy,204,141,144,153,0.621197827149785,59,36
chol,shy,367,94,362,77,0.6207703713083885,50,34
cheo,tar,75,43,62,35,0.6200932485670062,14,8
ckhey,chol,32,367,32,362,0.6161969858548427,20,14
dar,ain,287,149,242,107,0.6161500001195274,70,40
dar,al,287,311,242,245,0.6154574548966637,100,60
shol,chol,176,367,181,362,0.6153809092546063,104,56
chor,cthor,215,45,199,42,0.6127589230290632,30,18
chol,dor,367,63,362,68,0.6125092359538591,52,28
tar,o,43,114,35,83,0.6101661556659209,11,5
chor,tol,215,42,199,48,0.6090676042156351,27,18
shey,dy,344,204,374,144,0.608416588482956,84,43
chor,cthy,215,100,199,67,0.6078523625830169,46,24
chey,shckhy,510,55,580,64,0.6059232638455798,51,37
cheo,chos,75,42,62,43,0.6059048960307679,15,6
ckhey,kol,32,35,32,33,0.6057921483348285,11,6
kol,chy,35,197,33,157,0.605292024920322,23,16
r,dar,196,287,176,242,0.6048801859305418,79,36
s,dar,328,287,291,242,0.6022615082726984,102,51
shar,or,34,390,24,406,0.6015887884145412,17,13
chdy,chey,108,510,113,580,0.6015138666219614,75,52
dar,dor,287,63,242,68,0.6011610082358378,48,28
dal,ol,190,588,139,609,0.6007035815494968,91,54
dor,sol,63,63,68,69,0.6003677575763856,31,16
y,sor,210,43,176,45,0.5996414886600915,32,16
kol,dy,35,204,33,144,0.5992812934134313,24,16
dal,dor,190,63,139,68,0.5992541323309714,40,23
s,ol,328,588,291,609,0.5978103353051065,162,56
kol,dal,35,190,33,139,0.597458829216898,25,17
dar,lor,287,38,242,39,0.5966562398740015,31,16
dor,qol,63,147,68,132,0.5965788002812389,33,14
dal,dy,190,204,139,144,0.5960154309883228,59,35
shar,sar,34,77,24,48,0.5944718152532001,9,6
chdy,chcthy,108,84,113,94,0.5944454429259128,44,31
ain,am,149,115,107,38,0.5944206543446519,20,14
dar,l,287,156,242,137,0.59247945765622,64,35
dar,qol,287,147,242,132,0.5914618894223137,61,27
ckhey,cthol,32,55,32,43,0.591398398810567,11,6
shol,chey,176,510,181,580,0.5912532100570019,124,66
ckhey,cthy,32,100,32,67,0.5909497075777495,16,11
chol,tol,367,42,362,48,0.5883042933808812,33,22
dar,dal,287,190,242,139,0.588080875412091,69,47
tol,dal,42,190,48,139,0.5875506444979073,31,21
shol,dy,176,204,181,144,0.5868499174742361,66,37
cthy,shy,100,94,67,77,0.5866992641427419,25,14
sor,chos,43,42,45,43,0.5866364826939114,16,8
shy,dy,94,204,77,144,0.5863048148725898,40,23
r,ol,196,588,176,609,0.5862471263863104,126,47
ol,lor,588,38,609,39,0.5847261516005197,32,15
shol,y,176,210,181,176,0.5839999149153345,75,41
dar,tar,287,43,242,35,0.5837187639488561,23,14
chckhy,shckhy,141,55,153,64,0.583378797165569,40,28
chal,al,59,311,57,245,0.5827035086520705,43,37
ol,tar,588,43,609,35,0.5813561731391519,25,16
o,lor,114,38,83,39,0.580656203323673,12,4
chor,dar,215,287,199,242,0.5796440988386636,84,45
chey,qo,510,51,580,59,0.5779560500338259,51,40
sor,dor,43,63,45,68,0.5776355918011563,21,12
dar,sar,287,77,242,48,0.5772648812916227,37,16
shar,tar,34,43,24,35,0.5745981582621553,11,8
chos,tar,42,43,43,35,0.5745378809452787,10,4
chy,shy,197,94,157,77,0.5731260378763444,41,30
shar,r,34,196,24,176,0.5726529629096523,11,7
chey,chcthy,510,84,580,94,0.5721473122517401,72,53
ol,am,588,115,609,38,0.5719136517531438,29,23
shar,s,34,328,24,291,0.5711631379580038,14,10
chal,ol,59,588,57,609,0.5705363456919911,45,38
kol,cthor,35,45,33,42,0.5704356452719496,13,9
shy,chckhy,94,141,77,153,0.5702625402084077,37,23
ol,o,588,114,609,83,0.5693396712889123,67,29
chol,dy,367,204,362,144,0.5676131553810133,67,40
chol,oky,367,103,362,90,0.5669868099011574,49,33
shar,d,34,53,24,32,0.566946709513841,7,4
shol,kol,176,35,181,33,0.5665118467557584,26,18
sol,lor,63,38,69,39,0.5664364511319013,20,11
ar,shar,449,34,388,24,0.565878408754015,19,15
sor,cheo,43,75,45,62,0.5652865398896838,17,8
shol,shor,176,91,181,85,0.5640127639921676,43,28
cthy,chy,100,197,67,157,0.5635284906475497,33,17
tol,sol,42,63,48,69,0.5632699981036576,20,12
chor,al,215,311,199,245,0.5632573527594793,87,47
tol,al,42,311,48,245,0.5613309071194185,31,20
chy,cthol,197,55,157,43,0.5608913815068107,24,12
shar,lor,34,38,24,39,0.5587605057198419,10,7
y,chal,210,59,176,57,0.5580601436837687,29,24
am,qol,115,147,38,132,0.556009299799396,18,13
al,dor,311,63,245,68,0.5557670423366193,43,23
l,air,156,95,137,70,0.5541684968947473,27,20
shey,she,344,41,374,39,0.5538314404904651,28,25
ckhey,shy,32,94,32,77,0.5530459950234383,15,9
ol,sar,588,77,609,48,0.5519813422884349,44,21
y,dy,210,204,176,144,0.5477360196439328,65,38
cthol,dal,55,190,43,139,0.546770481131718,26,15
tol,sor,42,43,48,45,0.5466550354776553,16,11
ckhey,dy,32,204,32,144,0.5456276177089131,21,15
ain,sol,149,63,107,69,0.5454356493666395,25,12
chdy,chckhy,108,141,113,153,0.5450616331713825,56,41
kol,oky,35,103,33,90,0.5444210483401237,21,15
cthol,shy,55,94,43,77,0.5441501485006514,19,9
chal,dar,59,287,57,242,0.543855298224413,34,30
dal,al,190,311,139,245,0.5436272219086546,70,47
d,dar,53,287,32,242,0.5429489651957946,28,12
kol,tol,35,42,33,48,0.5426095162342934,16,13
am,l,115,156,38,137,0.5417369277307681,19,14
shar,dar,34,287,24,242,0.5416666666666666,17,13
ol,dol,588,97,609,89,0.5396218287215431,54,30
chey,chy,510,197,580,157,0.5365771955379683,103,66
dar,am,287,115,242,38,0.5361109642475097,23,17
chor,dy,215,204,199,144,0.5352905759949825,61,34
y,chy,210,197,176,157,0.5340765156599143,67,45
am,sol,115,63,38,69,0.5331549489170535,13,8
dar,kar,287,58,242,47,0.5302802418897309,31,26
or,dor,390,63,406,68,0.5301388780505654,52,27
or,char,390,79,406,75,0.5288351353469183,46,30
dar,dy,287,204,242,144,0.5285433870174403,69,43
dol,al,97,311,89,245,0.5283473288108492,44,25
dol,sol,97,63,89,69,0.5266733484382655,24,13
y,kol,210,35,176,33,0.5262506640488077,25,17
shol,chor,176,215,181,199,0.5260606261800406,72,46
chdy,shey,108,344,113,374,0.5255041852258266,60,43
dol,sal,97,48,89,44,0.5248062950174999,20,15
qol,air,147,95,132,70,0.522752819196441,26,18
shol,al,176,311,181,245,0.5223648837453901,81,52
dar,chos,287,42,242,43,0.5222666352627332,27,18
ain,al,149,311,107,245,0.5219943400216868,56,35
chy,dy,197,204,157,144,0.5212003747961809,55,38
am,al,115,311,38,245,0.5211573066470478,23,18
y,ain,210,149,176,107,0.521031687220669,43,25
shol,shy,176,94,181,77,0.5199860747510119,40,25
cthy,dal,100,190,67,139,0.5191156948891755,31,19
shar,chos,34,42,24,43,0.517701367471975,8,5
al,dy,311,204,245,144,0.5170562978713674,75,48
cthy,oky,100,103,67,90,0.5167770076554393,24,14
chor,chal,215,59,199,57,0.516417538731334,28,22
cthy,dy,100,204,67,144,0.515312641077622,34,20
shol,dal,176,190,181,139,0.5121237418678086,55,34
chor,oky,215,103,199,90,0.5121127475176543,37,23
char,dar,79,287,75,242,0.5103220122726003,39,24
chey,al,510,311,580,245,0.510201399002466,140,78
ar,kar,449,58,388,47,0.5099926708220228,35,28
dar,tol,287,42,242,48,0.5094239375890246,30,23
y,or,210,390,176,406,0.5091644681579106,81,37
dol,dor,97,63,89,68,0.5088057082334715,31,21
dal,sol,190,63,139,69,0.5087282118339087,31,16
shey,chcthy,344,84,374,94,0.5082096940380427,57,41
cho,cheo,77,75,59,62,0.5078333750770081,16,11
she,chey,41,510,39,580,0.5075832450645326,32,28
tar,sol,43,63,35,69,0.5072531649411728,14,9
dar,o,287,114,242,83,0.5069683232968353,37,14
char,chos,79,42,75,43,0.5064916133968793,19,13
chy,dal,197,190,157,139,0.5059669276580958,54,41
shol,cthol,176,55,181,43,0.5047146145152358,25,12
dal,cthor,190,45,139,42,0.5045271838623335,24,17
oky,cthor,103,45,90,42,0.5032265660855085,22,13
dy,shckhy,204,55,144,64,0.5030737186916883,34,23
chor,l,215,156,199,137,0.5029972405968265,54,28
kol,dor,35,63,33,68,0.5027933178237151,17,13
shol,dar,176,287,181,242,0.5021139225475983,66,39
ar,y,449,210,388,176,0.5018930889743866,97,50
oky,shy,103,94,90,77,0.5016290204294225,28,20
shey,qo,344,51,374,59,0.5010977732835069,34,27
chal,dal,59,190,57,139,0.5008811587770591,27,22
cheo,lor,75,38,62,39,0.5003137595945112,12,4
oky,dal,103,190,90,139,0.4998038345113799,38,26
or,l,390,156,406,137,0.49956507904397784,84,39
s,char,328,79,291,75,0.4994202598569617,31,22
chy,qo,197,51,157,59,0.49853949167476397,39,32
shar,ches,34,44,24,43,0.498400726997396,7,5
al,sor,311,43,245,45,0.4978793838120408,32,20
ol,cheo,588,75,609,62,0.4974170504737308,51,27
or,sol,390,63,406,69,0.4968396854204861,51,29
chor,sor,215,43,199,45,0.4933338070240168,31,17
r,char,196,79,176,75,0.49285444680090373,25,16
cthol,oky,55,103,43,90,0.4928319990088058,18,10
chey,shy,510,94,580,77,0.491341675899132,58,39
tol,dy,42,204,48,144,0.49026495085104177,22,16
shol,chdy,176,108,181,113,0.48957829770287664,56,42
ol,air,588,95,609,70,0.48867165443566474,36,28
chor,chy,215,197,199,157,0.4885375458340738,60,36
char,sor,79,43,75,45,0.4881426356672706,17,9
dar,dol,287,97,242,89,0.48699963113121575,38,21
ain,sor,149,43,107,45,0.48699901226479514,22,13
ar,l,449,156,388,137,0.48680925534913067,86,46
shar,sor,34,43,24,45,0.4861527926641233,9,6
char,oly,79,65,75,33,0.4853737513923664,18,15
shol,chckhy,176,141,181,153,0.4846508142361934,61,38
ol,dy,588,204,609,144,0.4839667358301494,92,51
shol,ol,176,588,181,609,0.4833880446885155,108,60
chol,ol,367,588,362,609,0.4824924036953068,174,77
chy,al,197,311,157,245,0.48243100329920396,75,55
ckhey,chey,32,510,32,580,0.4816415184333888,28,21
al,air,311,95,245,70,0.48133194447423683,33,26
ol,qo,588,51,609,59,0.48049519154549264,43,39
dar,oty,287,114,242,79,0.4804554710901244,46,31
cho,o,77,114,59,83,0.48034052849995484,13,8
ain,dor,149,63,107,68,0.47940433537105476,26,14
ckhey,chy,32,197,32,157,0.47918302170094146,18,12
chcthy,chckhy,84,141,94,153,0.4789293521979864,51,39
ain,dal,149,190,107,139,0.4779159150194314,37,24
dal,sor,190,43,139,45,0.47712638604818225,24,14
dal,qol,190,147,139,132,0.4766169493977507,39,22
am,dor,115,63,38,68,0.47638495872919123,16,11
char,o,79,114,75,83,0.47628314854075265,18,10
ain,tol,149,42,107,48,0.4758553819416337,18,10
cthol,dy,55,204,43,144,0.47566478032352094,25,12
chal,dor,59,63,57,68,0.47528212354854377,18,13
chol,al,367,311,362,245,0.4752389202509875,111,60
dal,l,190,156,139,137,0.4742604909958485,42,28
char,tar,79,43,75,35,0.4733948814085332,15,9
s,cho,328,77,291,59,0.4727942691047324,23,18
shol,sho,176,118,181,124,0.4723616263763119,51,30
shol,oky,176,103,181,90,0.4722445815139977,38,24
shol,cthy,176,100,181,67,0.47222241790923897,34,20
r,cho,196,77,176,59,0.4721224372564311,20,16
y,qo,210,51,176,59,0.4719983783007848,28,25
dar,ches,287,44,242,43,0.4717905871721381,29,16
she,shckhy,41,55,39,64,0.47176741885924267,17,14
y,dol,210,97,176,89,0.4716645486781954,34,19
dar,cheo,287,75,242,62,0.4714614808391303,30,14
ar,dor,449,63,388,68,0.47077320015318774,49,28
chal,l,59,156,57,137,0.4705927846680314,29,25
chol,chal,367,59,362,57,0.4701269841862089,37,31
shor,sal,91,48,85,44,0.47011390219664034,15,11
dor,dy,63,204,68,144,0.46994509809552365,33,19
chor,ain,215,149,199,107,0.4695961103768285,43,24
chdy,dy,108,204,113,144,0.4693133045172246,42,31
ckhey,chckhy,32,141,32,153,0.46864129660045595,22,17
dor,air,63,95,68,70,0.46729013610523357,15,10
chor,sol,215,63,199,69,0.46700845315698974,32,16
chy,chckhy,197,141,157,153,0.46609796598176256,53,40
al,chckhy,311,141,245,153,0.4650914072101175,72,52
char,sar,79,77,75,48,0.46455955715259484,17,10
kol,chckhy,35,141,33,153,0.4631627865001539,22,16
y,o,210,114,176,83,0.4621059470462694,36,20
char,ches,79,44,75,43,0.46194526272935765,15,9
or,chor,390,215,406,199,0.4617664525577457,100,49
shol,oty,176,114,181,79,0.4616941358912438,36,27
d,ol,53,588,32,609,0.46166515991580137,29,14
y,am,210,115,176,38,0.461167440662914,18,13
dar,cthor,287,45,242,42,0.46108443986159886,28,19
shol,ckhey,176,32,181,32,0.46070883601136564,19,13
oky,chckhy,103,141,90,153,0.4596915496167667,35,22
chey,key,510,33,580,36,0.4568590503652776,27,26
s,dor,328,63,291,68,0.45669681669896023,50,24
ar,ain,449,149,388,107,0.4558901437114536,82,48
chal,chy,59,197,57,157,0.4557649427881209,29,26
chdy,dar,108,287,113,242,0.4557327151876499,57,43
dal,chckhy,190,141,139,153,0.4551489842701259,51,38
chal,chckhy,59,141,57,153,0.45451206645560877,35,29
kol,al,35,311,33,245,0.45179349720570805,26,21
chol,shor,367,91,362,85,0.451722031469017,49,33
ar,cho,449,77,388,59,0.4516531472671796,30,25
she,chckhy,41,141,39,153,0.4512086108255481,23,20
dol,l,97,156,89,137,0.4509717439582857,28,17
shor,dy,91,204,85,144,0.45034089523822696,36,25
ain,air,149,95,107,70,0.45024893688173173,24,17
qo,al,51,311,59,245,0.4502335488976196,34,31
chal,sol,59,63,57,69,0.4499003890383852,17,12
ckhey,dal,32,190,32,139,0.44982345106024185,17,11
ar,sol,449,63,388,69,0.4494746597463688,45,25
chal,ain,59,149,57,107,0.44906683084718346,20,16
shar,cheo,34,75,24,62,0.4488655290372549,9,6
y,s,210,328,176,291,0.44873839338550203,74,31
chey,cthey,510,47,580,50,0.4485443924552664,33,30
oky,dy,103,204,90,144,0.44846105565116146,33,20
shey,shy,344,94,374,77,0.4483199747021255,43,26
dal,shy,190,94,139,77,0.44769919542522035,30,21
dal,qo,190,51,139,59,0.447499199357973,28,25
shar,ol,34,588,24,609,0.4469706047318518,20,16
or,cho,390,77,406,59,0.4466568873624073,24,18
chol,kchy,367,36,362,36,0.446092312208669,22,17
ar,chal,449,59,388,57,0.4460231460169146,37,33
am,dol,115,97,38,89,0.4459927908250817,12,7
shol,chal,176,59,181,57,0.4457279392390754,29,23
dol,dy,97,204,89,144,0.4443317845534842,39,26
shor,sol,91,63,85,69,0.44401329658429056,19,11
or,kar,390,58,406,47,0.4434886031813199,33,28
chey,dal,510,190,580,139,0.4431551931728224,82,50
shol,qo,176,51,181,59,0.4425879486080757,33,26
kol,chal,35,59,33,57,0.4423739552038088,12,10
ol,ches,588,44,609,43,0.441770331870264,34,20
y,chey,210,510,176,580,0.4400348012147667,116,70
chal,sor,59,43,57,45,0.4398949192731172,16,13
y,air,210,95,176,70,0.4395887662983152,21,16
or,qol,390,147,406,132,0.43934183857683035,76,27
chal,dy,59,204,57,144,0.4391929957177869,24,20
char,d,79,53,75,32,0.4378978809844386,10,4
shol,dor,176,63,181,68,0.4368949450182002,31,18
chcthy,oty,84,114,94,79,0.4368739446767396,29,25
cho,ches,77,44,59,43,0.4366716917219,10,6
chy,cthor,197,45,157,42,0.43561146121719974,25,17
d,cho,53,77,32,59,0.435536838672099,8,4
chol,qo,367,51,362,59,0.4347971069626069,38,34
qo,l,51,156,59,137,0.43463784802959343,26,23
char,cthor,79,45,75,42,0.4342513497222962,15,11
ckhey,oky,32,103,32,90,0.43333333333333335,15,9
shar,dor,34,63,24,68,0.4331895500522951,15,11
chor,qol,215,147,199,132,0.4330673732517537,38,18
tol,dol,42,97,48,89,0.43273562521726566,18,13
dal,dol,190,97,139,89,0.43263394509880954,31,20
chor,qo,215,51,199,59,0.43226822194700926,21,18
cthor,dy,45,204,42,144,0.43190007574972733,25,17
char,lor,79,38,75,39,0.4315750269409381,12,6
ar,oly,449,65,388,33,0.43122221836919794,23,20
kol,shor,35,91,33,85,0.43117033650123804,16,11
y,chckhy,210,141,176,153,0.4305118456788521,47,34
dol,qol,97,147,89,132,0.4304334993933729,25,13
shol,shey,176,344,181,374,0.4301808883926908,81,50
chol,chckhy,367,141,362,153,0.43006095261598354,72,49
ar,al,449,311,388,245,0.4298697280586715,122,72
chal,qol,59,147,57,132,0.429161686030372,21,17
chol,dar,367,287,362,242,0.4275325069268161,104,56
char,ol,79,588,75,609,0.42733977888541796,44,28
dar,air,287,95,242,70,0.42699324622671997,32,24
chor,shy,215,94,199,77,0.4268336387040572,31,21
chal,tol,59,42,57,48,0.4265260724478417,14,10
or,tol,390,42,406,48,0.42630894329256064,26,18
dar,shor,287,91,242,85,0.42566442141327543,40,27
cthor,dor,45,63,42,68,0.4252464331814255,19,14
qol,lor,147,38,132,39,0.42479905875863194,25,16
ol,chos,588,42,609,43,0.423726508365876,33,24
kar,chos,58,42,47,43,0.42362536520690697,11,9
chey,oky,510,103,580,90,0.4232373385806221,60,39
qo,shckhy,51,55,59,64,0.42211999154132823,20,16
char,cheo,79,75,75,62,0.42197664418468944,15,8
shar,o,34,114,24,83,0.42163702135578396,4,2
y,shy,210,94,176,77,0.42141698775035685,35,23
tol,qo,42,51,48,59,0.4214058606907359,17,14
tol,air,42,95,48,70,0.42116931514266137,14,10
shol,tol,176,42,181,48,0.42055651130865623,26,19
dar,chckhy,287,141,242,153,0.4201731863121648,62,43
shar,chor,34,215,24,199,0.4195385200817707,14,10
al,shckhy,311,55,245,64,0.4193163321315116,32,24
chdy,key,108,33,113,36,0.4182090212143938,20,19
ar,qol,449,147,388,132,0.4181660747819466,72,34
tol,chckhy,42,141,48,153,0.4174087204258318,21,15
chol,chey,367,510,362,580,0.41718817582448375,169,91
dal,am,190,115,139,38,0.41710307877406566,21,15
char,chckhy,79,141,75,153,0.41569856525527965,28,21
y,cthol,210,55,176,43,0.41554912328970756,29,14
ody,shcthy,38,30,24,33,0.41533930532093194,8,7
cthey,chckhy,47,141,50,153,0.41514787664051317,24,23
or,dal,390,190,406,139,0.41513841550806946,66,41
chdy,dal,108,190,113,139,0.4141399246601273,39,34
chal,am,59,115,57,38,0.41410935155849693,13,10
cthol,dor,55,63,43,68,0.41371911573554837,17,10
ain,kal,149,30,107,27,0.41346886483960327,12,11
r,kar,196,58,176,47,0.41342820710167716,19,15
ar,dal,449,190,388,139,0.41334545382980387,64,43
chy,oky,197,103,157,90,0.4132258230256874,32,22
chdy,shcthy,108,30,113,33,0.4131369603904238,21,15
kol,ol,35,588,33,609,0.41182489765462876,30,22
y,oky,210,103,176,90,0.41176667929178856,37,26
chdy,kal,108,30,113,27,0.41157769036069836,15,14
chor,ckhey,215,32,199,32,0.4112659295449469,13,8
r,dor,196,63,176,68,0.4108988255914859,39,20
qo,chcthy,51,84,59,94,0.4106209329318194,24,20
dar,chey,287,510,242,580,0.4101892052592047,112,60
cthy,tol,100,42,67,48,0.41018150630839484,13,9
shol,chcthy,176,84,181,94,0.4098940813121566,44,34
dy,oty,204,114,144,79,0.40975821845393723,30,22
cho,chos,77,42,59,43,0.4097575314352394,9,5
kar,tar,58,43,47,35,0.40951417967396103,9,6
chcthy,dy,84,204,94,144,0.40947234065973626,35,28
s,l,328,156,291,137,0.4091684897946521,65,28
ain,kar,149,58,107,47,0.40902651923206357,18,14
she,qo,41,51,39,59,0.4088563251453103,15,14
kar,key,58,33,47,36,0.40875955965664384,13,12
cthy,chey,100,510,67,580,0.40798408324926827,53,30
chy,tol,197,42,157,48,0.4076876496007125,25,19
y,r,210,196,176,176,0.40699056265394545,54,28
dy,sol,204,63,144,69,0.40631820488604886,28,17
qo,chckhy,51,141,59,153,0.40614611235136117,30,25
or,chal,390,59,406,57,0.40577091540436605,32,28
char,oky,79,103,75,90,0.4054991124544446,23,19
tol,shy,42,94,48,77,0.40541618192356454,13,9
ar,chor,449,215,388,199,0.4053571270607917,89,48
r,l,196,156,176,137,0.40529986814001684,55,31
chdy,char,108,79,113,75,0.40479827286438697,25,20
sol,sar,63,77,69,48,0.4045652994165971,15,10
kol,chey,35,510,33,580,0.4043257313001009,25,17
r,sol,196,63,176,69,0.404290543855839,35,20
sor,kar,43,58,45,47,0.40422604172722165,12,9
o,l,114,156,83,137,0.40354128835029524,33,20
